city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time
RS,1,2,7,2256,4339,281.91,29.527,352,101,281.91,130.884
RS,2,2,7,2256,4339,101.94,44.538,352,101,101.94,66.833
RS,3,2,7,2256,4339,88.9,26.001,352,101,88.9,49.262
RS,4,2,7,2256,4339,281.65,30.891,352,101,281.65,76.367
RS,5,2,7,2256,4339,94.35,36.129,352,101,94.35,106.244
RS,6,2,7,2256,4339,20.34,30.093,352,101,20.34,85.394
RS,7,2,7,2256,4339,117.06,34.197,352,101,117.06,19.7
RS,8,2,7,2256,4339,88.17,33.509,352,101,88.17,37.132
RS,9,2,7,2256,4339,287.6,40.158,352,101,287.6,77.409
RS,10,2,7,2256,4339,106.44,22.077,352,101,106.44,68.809
RS,1,3,6,2900,5464,0.0,0.916,452,124,0.0,2.566
RS,2,3,6,2900,5464,0.0,1.684,452,124,0.0,2.013
RS,3,3,6,2900,5464,0.0,2.114,452,124,0.0,1.902
RS,4,3,6,2900,5464,0.0,1.795,452,124,0.0,2.347
RS,5,3,6,2900,5464,0.0,1.704,452,124,0.0,1.567
RS,6,3,6,2900,5464,0.0,2.567,452,124,0.0,2.922
RS,7,3,6,2900,5464,0.0,2.57,452,124,0.0,3.896
RS,8,3,6,2900,5464,0.0,0.802,452,124,0.0,2.145
RS,9,3,6,2900,5464,0.0,2.127,452,124,0.0,2.448
RS,10,3,6,2900,5464,117.06,39.932,452,124,117.06,72.089
RS,1,4,4,2578,4519,117.06,5.995,402,111,117.06,12.28
RS,2,4,4,2578,4519,117.06,4.568,402,111,117.06,13.749
RS,3,4,4,2578,4519,0.0,1.468,402,111,0.0,4.438
RS,4,4,4,2578,4519,81.22,6.649,402,111,81.22,53.019
RS,5,4,4,2578,4519,106.44,11.981,402,111,106.44,125.156
RS,6,4,4,2578,4519,8.76,12.433,402,111,8.76,51.783
RS,7,4,4,2578,4519,57.37,20.803,402,111,57.37,41.558
RS,8,4,4,2578,4519,14.09,7.424,402,111,14.09,61.141
RS,9,4,4,2578,4519,117.06,4.449,402,111,117.06,6.527
RS,10,4,4,2578,4519,0.0,2.031,402,111,0.0,1.917
RS,1,5,3,2417,3919,118.58,2.347,377,104,118.58,20.822
RS,2,5,3,2417,3919,129.74,2.57,377,104,129.74,7.103
RS,3,5,3,2417,3919,118.58,3.122,377,104,118.58,88.736
RS,4,5,3,2417,3919,102.59,1.785,377,104,102.59,40.882
RS,5,5,3,2417,3919,151.58,5.871,377,104,151.58,45.709
RS,6,5,3,2417,3919,118.58,3.665,377,104,118.58,45.007
RS,7,5,3,2417,3919,118.58,2.234,377,104,122.09,9.534
RS,8,5,3,2417,3919,0.0,1.028,377,104,0.0,1.793
RS,9,5,3,2417,3919,0.0,0.695,377,104,0.0,1.355
RS,10,5,3,2417,3919,106.44,6.216,377,104,106.44,7.851
RS,1,6,2,1934,2629,761.47,1.465,302,85,761.47,1.681
RS,2,6,2,1934,2629,972.06,1.243,302,85,972.06,1.354
RS,3,6,2,1934,2629,780.51,1.352,302,85,780.51,1.575
RS,4,6,2,1934,2629,826.44,1.829,302,85,826.44,2.014
RS,5,6,2,1934,2629,960.51,1.24,302,85,960.51,1.578
