city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time
RS,1,2,7,2256,4339,281.91,29.527,352,101,281.91,130.884
RS,2,2,7,2256,4339,101.94,44.538,352,101,101.94,66.833
RS,3,2,7,2256,4339,88.9,26.001,352,101,88.9,49.262
RS,4,2,7,2256,4339,281.65,30.891,352,101,281.65,76.367
RS,5,2,7,2256,4339,94.35,36.129,352,101,94.35,106.244
RS,6,2,7,2256,4339,20.34,30.093,352,101,20.34,85.394
RS,7,2,7,2256,4339,117.06,34.197,352,101,117.06,19.7
RS,8,2,7,2256,4339,88.17,33.509,352,101,88.17,37.132
RS,9,2,7,2256,4339,287.6,40.158,352,101,287.6,77.409
RS,10,2,7,2256,4339,106.44,22.077,352,101,106.44,68.809
RS,1,3,6,2900,5464,0.0,0.916,452,124,0.0,2.566
RS,2,3,6,2900,5464,0.0,1.684,452,124,0.0,2.013
RS,3,3,6,2900,5464,0.0,2.114,452,124,0.0,1.902
RS,4,3,6,2900,5464,0.0,1.795,452,124,0.0,2.347
RS,5,3,6,2900,5464,0.0,1.704,452,124,0.0,1.567
RS,6,3,6,2900,5464,0.0,2.567,452,124,0.0,2.922
RS,7,3,6,2900,5464,0.0,2.57,452,124,0.0,3.896
RS,8,3,6,2900,5464,0.0,0.802,452,124,0.0,2.145
RS,9,3,6,2900,5464,0.0,2.127,452,124,0.0,2.448
RS,10,3,6,2900,5464,117.06,39.932,452,124,117.06,72.089
RS,1,4,4,2578,4519,117.06,5.995,402,111,117.06,12.28
RS,2,4,4,2578,4519,117.06,4.568,402,111,117.06,13.749
RS,3,4,4,2578,4519,0.0,1.468,402,111,0.0,4.438
RS,4,4,4,2578,4519,81.22,6.649,402,111,81.22,53.019
