city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time,hx_obj,hx_time,i_max,seed
SB,1,2,6,2246,4208,360.0,8.552,326,92,360.0,6.99,360.0,60,"[30.0, 570.0, 210.0, 390.0]",7129307151326103506
SB,2,2,6,2246,4208,337.26,19.843,326,92,337.26,40.396,340.6600000000001,60,"[30.0, 390.0, 210.0, 390.0]",6782440147158933529
SB,3,2,6,2246,4208,338.93,6.165,326,92,338.93,10.985,464.67958007326376,60,"[210.0, 390.0, 390.0, 570.0]",7284946548098296560
SB,4,2,6,2246,4208,257.71,15.873,326,92,257.71,16.71,268.169580029307,60,"[210.0, 570.0, 930.0, 210.0]",7238476652211545160
SB,5,2,6,2246,4208,350.87,20.444,326,92,350.87,29.463,352.39,60,"[930.0, 750.0, 390.0, 570.0]",7474890922888263416
SB,6,2,6,2246,4208,305.33,6.373,326,92,305.33,22.88,351.93999999999994,60,"[30.0, 390.0, 210.0, 210.0]",4476890913637424427
SB,7,2,6,2246,4208,417.75,24.592,326,92,417.75,48.889,431.5284608788662,60,"[750.0, 390.0, 210.0, 570.0]",6311472310812105897
SB,8,2,6,2246,4208,285.97,6.431,326,92,285.97,14.281,326.6700000000001,60,"[30.0, 210.0, 570.0, 210.0]",5797330866468048873
SB,9,2,6,2246,4208,490.4,23.251,326,92,490.4,60.964,493.2795800197083,60,"[30.0, 210.0, 210.0, 750.0]",5488680684133291485
SB,10,2,6,2246,4208,318.65,14.956,326,92,318.65,14.568,429.86922003326515,60,"[930.0, 930.0, 390.0, 30.0]",514568074496987853
SB,1,3,4,2246,3907,856.32,5.271,326,91,856.32,18.137,979.7595262668326,60,"[30.0, 30.0, 390.0, 210.0]",717554407897895923
SB,2,3,4,2246,3907,474.28,2.016,326,91,474.28,3.229,484.24,60,"[390.0, 390.0, 210.0, 570.0]",8921615542833431645
SB,3,3,4,2246,3907,296.5,3.344,326,91,296.5,6.552,305.29,60,"[30.0, 570.0, 570.0, 570.0]",1458738608144235668
SB,4,3,4,2246,3907,659.97,4.135,326,91,659.97,7.818,781.1691693595799,60,"[30.0, 210.0, 750.0, 210.0]",4166068413453783652
SB,5,3,4,2246,3907,296.67,9.733,326,91,296.67,12.128,306.23,60,"[30.0, 30.0, 30.0, 390.0]",4166040796591291643
SB,6,3,4,2246,3907,307.93,1.459,326,91,307.93,1.999,316.1,60,"[390.0, 750.0, 570.0, 390.0]",9183835931494455565
SB,7,3,4,2246,3907,475.65,3.629,326,91,475.65,5.729,485.54,60,"[390.0, 390.0, 30.0, 210.0]",950630082254146953
SB,8,3,4,2246,3907,652.91,1.541,326,91,652.91,2.973,663.04,60,"[210.0, 210.0, 210.0, 210.0]",902916230840655725
SB,9,3,4,2246,3907,838.32,9.925,326,91,838.32,13.271,847.55,60,"[570.0, 30.0, 1110.0, 210.0]",2148327416590826976
SB,10,3,4,2246,3907,626.57,9.581,326,91,626.57,19.065,636.0295801706135,60,"[570.0, 210.0, 210.0, 570.0]",1282001786664135147
SB,1,4,3,2246,3606,495.15,2.009,326,90,495.15,13.716,502.03,60,"[210.0, 210.0, 30.0, 390.0]",8570246832798681083
SB,2,4,3,2246,3606,661.1,4.549,326,90,661.1,5.984,670.04,60,"[30.0, 390.0, 30.0, 750.0]",8658188069031536882
SB,3,4,3,2246,3606,990.42,2.834,326,90,990.42,5.334,999.3595800031538,60,"[390.0, 210.0, 570.0, 390.0]",1291697264228187503
SB,4,4,3,2246,3606,800.61,3.74,326,90,800.61,21.925,819.3595799993502,60,"[210.0, 210.0, 570.0, 570.0]",1811203987380578281
SB,5,4,3,2246,3606,481.1,2.454,326,90,481.1,4.99,490.04,60,"[390.0, 210.0, 570.0, 390.0]",4062006834494891975
SB,6,4,3,2246,3606,661.1,4.05,326,90,661.1,10.705,469.49922015470224,60,"[390.0, 570.0, 30.0, 390.0]",2433260877049243431
SB,7,4,3,2246,3606,630.42,2.257,326,90,630.42,5.248,639.3599400431427,60,"[570.0, 30.0, 390.0, 570.0]",1542793738638426126
SB,8,4,3,2246,3606,838.71,2.437,326,90,838.71,2.736,468.44922001379894,60,"[1110.0, 750.0, 570.0, 390.0]",1382135242135081709
SB,9,4,3,2246,3606,630.42,3.179,326,90,630.42,4.405,639.359220049178,60,"[210.0, 390.0, 390.0, 390.0]",2216768697897330475
SB,10,4,3,2246,3606,840.38,4.797,326,90,840.38,12.102,815.8599400598258,60,"[750.0, 750.0, 390.0, 30.0]",2668422375716318771
