city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time,i_max,seed
SB,1,2,7,2620,5008,137.39,41.128,380,106,137.39,75.919,"[210.0, 30.0, 210.0, 750.0]",6674060053149593399
SB,2,2,7,2620,5008,0.0,3.021,380,106,0.0,6.166,"[1110.0, 930.0, 210.0, 750.0]",2533147218632097371
SB,3,2,7,2620,5008,120.93,28.414,380,106,120.93,56.881,"[30.0, 570.0, 750.0, 210.0]",7915531133353438090
SB,4,2,7,2620,5008,146.71,50.139,380,106,146.71,83.024,"[930.0, 30.0, 30.0, 390.0]",133428451135244924
SB,5,2,7,2620,5008,116.31,32.461,380,106,116.31,81.852,"[30.0, 570.0, 570.0, 570.0]",8353657743607978872
SB,6,2,7,2620,5008,126.94,51.916,380,106,126.94,58.065,"[570.0, 570.0, 210.0, 570.0]",8120153499542596292
SB,7,2,7,2620,5008,0.0,3.508,380,106,0.0,12.495,"[750.0, 390.0, 210.0, 570.0]",8928294842139803833
SB,8,2,7,2620,5008,138.45,42.076,380,106,138.45,61.19,"[30.0, 750.0, 210.0, 30.0]",5697457188600818875
SB,9,2,7,2620,5008,295.12,192.527,380,106,295.12,520.396,"[210.0, 210.0, 30.0, 30.0]",827339558356980450
SB,10,2,7,2620,5008,120.72,70.746,380,106,120.72,130.03,"[750.0, 570.0, 30.0, 390.0]",8769192248755408209
SB,1,3,6,3368,6303,116.42,113.088,488,129,116.42,160.22,"[210.0, 750.0, 30.0, 210.0]",6535089926064177393
SB,2,3,6,3368,6303,0.0,6.003,488,129,0.0,3.97,"[210.0, 570.0, 750.0, 210.0]",3438302295698138144
SB,3,3,6,3368,6303,0.0,4.987,488,129,0.0,5.636,"[30.0, 210.0, 210.0, 750.0]",8659264398599865709
SB,4,3,6,3368,6303,0.0,9.954,488,129,0.0,11.918,"[750.0, 390.0, 30.0, 390.0]",925388930457678347
SB,5,3,6,3368,6303,0.0,1.949,488,129,0.0,10.747,"[390.0, 210.0, 210.0, 210.0]",52875312548067298
SB,6,3,6,3368,6303,0.0,6.181,488,129,0.0,18.751,"[30.0, 390.0, 570.0, 750.0]",8686273544223722676
SB,7,3,6,3368,6303,0.0,7.795,488,129,0.0,4.206,"[30.0, 750.0, 1110.0, 750.0]",8175454890654848172
