city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time,hx_obj,hx_time,i_max,seed
SB,1,2,6,2246,4208,508.4,34.454,326,92,508.4,100.33,628.1695800115895,120,"[750.0, 570.0, 1110.0, 210.0]",7364412260990902845
SB,2,2,6,2246,4208,327.57,10.589,326,92,327.57,11.863,340.65999999999985,120,"[750.0, 570.0, 30.0, 570.0]",2920485531163536661
SB,3,2,6,2246,4208,478.71,36.111,326,92,478.71,54.242,626.1788600508255,120,"[570.0, 210.0, 210.0, 570.0]",1849280758530483587
SB,4,2,6,2246,4208,345.6,19.709,326,92,345.6,32.011,347.65999999999997,120,"[210.0, 750.0, 30.0, 570.0]",5527898433442859824
SB,5,2,6,2246,4208,408.93,18.519,326,92,408.93,12.586,502.99,120,"[30.0, 390.0, 390.0, 390.0]",6400933609607579319
SB,6,2,6,2246,4208,411.03,27.195,326,92,411.03,51.355,420.9684470199245,120,"[930.0, 390.0, 390.0, 750.0]",40811904195733444
SB,7,2,6,2246,4208,428.83,19.73,326,92,428.83,24.13,441.8795800056935,120,"[750.0, 210.0, 30.0, 210.0]",6748920101645935949
SB,8,2,6,2246,4208,467.74,22.925,326,92,467.74,41.318,505.61,120,"[30.0, 750.0, 210.0, 210.0]",4550440312801891993
SB,9,2,6,2246,4208,290.06,9.006,326,92,290.06,15.344,295.60921999875654,120,"[1110.0, 390.0, 570.0, 390.0]",8037635589536119640
SB,10,2,6,2246,4208,152.62,6.393,326,92,152.62,9.546,156.25,120,"[30.0, 390.0, 30.0, 390.0]",1222396398708041004
SB,1,3,4,2246,3907,648.55,7.983,326,91,648.55,30.078,682.56958003728,120,"[30.0, 210.0, 930.0, 210.0]",5966428795238071880
SB,2,3,4,2246,3907,614.72,6.745,326,91,614.72,14.809,633.2695800002506,120,"[210.0, 570.0, 930.0, 390.0]",5754081625495643204
SB,3,3,4,2246,3907,298.71,4.659,326,91,298.71,6.487,445.77994000524365,120,"[30.0, 750.0, 30.0, 30.0]",609943121115546901
SB,4,3,4,2246,3907,489.5,8.471,326,91,489.5,20.563,617.8295800290562,120,"[390.0, 570.0, 30.0, 210.0]",1425690143132566813
SB,5,3,4,2246,3907,406.9,3.204,326,91,406.9,4.671,417.3791635644018,120,"[210.0, 210.0, 750.0, 210.0]",2008207562344928531
SB,6,3,4,2246,3907,453.74,7.158,326,91,453.74,11.829,461.9492200002129,120,"[930.0, 30.0, 930.0, 390.0]",6576945194211500732
SB,7,3,4,2246,3907,785.26,4.491,326,91,785.26,9.832,797.6695800014063,120,"[390.0, 210.0, 390.0, 750.0]",1112422438643891437
SB,8,3,4,2246,3907,428.62,3.087,326,91,428.62,6.401,440.4595799993173,120,"[750.0, 390.0, 210.0, 390.0]",1870547477406230403
SB,9,3,4,2246,3907,619.33,4.053,326,91,619.33,16.791,629.4595800037048,120,"[1110.0, 390.0, 390.0, 210.0]",2858866494891748312
SB,10,3,4,2246,3907,647.13,4.36,326,91,647.13,5.621,657.8,120,"[210.0, 210.0, 930.0, 570.0]",5264020805163730738
SB,1,4,3,2246,3606,658.71,1.411,326,90,658.71,4.261,668.05,120,"[750.0, 210.0, 210.0, 750.0]",4340457774289695189
SB,2,4,3,2246,3606,658.71,1.856,326,90,658.71,2.726,668.05,120,"[750.0, 210.0, 390.0, 570.0]",1075937507123438883
SB,3,4,3,2246,3606,839.97,1.675,326,90,839.97,3.476,849.1,120,"[570.0, 210.0, 570.0, 390.0]",434784796381148447
