city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time,i_max,seed
SB,1,2,7,2620,5008,137.39,41.128,380,106,137.39,75.919,"[210.0, 30.0, 210.0, 750.0]",6674060053149593399
SB,2,2,7,2620,5008,0.0,3.021,380,106,0.0,6.166,"[1110.0, 930.0, 210.0, 750.0]",2533147218632097371
SB,3,2,7,2620,5008,120.93,28.414,380,106,120.93,56.881,"[30.0, 570.0, 750.0, 210.0]",7915531133353438090
SB,4,2,7,2620,5008,146.71,50.139,380,106,146.71,83.024,"[930.0, 30.0, 30.0, 390.0]",133428451135244924
SB,5,2,7,2620,5008,116.31,32.461,380,106,116.31,81.852,"[30.0, 570.0, 570.0, 570.0]",8353657743607978872
SB,6,2,7,2620,5008,126.94,51.916,380,106,126.94,58.065,"[570.0, 570.0, 210.0, 570.0]",8120153499542596292
SB,7,2,7,2620,5008,0.0,3.508,380,106,0.0,12.495,"[750.0, 390.0, 210.0, 570.0]",8928294842139803833
SB,8,2,7,2620,5008,138.45,42.076,380,106,138.45,61.19,"[30.0, 750.0, 210.0, 30.0]",5697457188600818875
SB,9,2,7,2620,5008,295.12,192.527,380,106,295.12,520.396,"[210.0, 210.0, 30.0, 30.0]",827339558356980450
SB,10,2,7,2620,5008,120.72,70.746,380,106,120.72,130.03,"[750.0, 570.0, 30.0, 390.0]",8769192248755408209
SB,1,3,6,3368,6303,116.42,113.088,488,129,116.42,160.22,"[210.0, 750.0, 30.0, 210.0]",6535089926064177393
SB,2,3,6,3368,6303,0.0,6.003,488,129,0.0,3.97,"[210.0, 570.0, 750.0, 210.0]",3438302295698138144
SB,3,3,6,3368,6303,0.0,4.987,488,129,0.0,5.636,"[30.0, 210.0, 210.0, 750.0]",8659264398599865709
SB,4,3,6,3368,6303,0.0,9.954,488,129,0.0,11.918,"[750.0, 390.0, 30.0, 390.0]",925388930457678347
SB,5,3,6,3368,6303,0.0,1.949,488,129,0.0,10.747,"[390.0, 210.0, 210.0, 210.0]",52875312548067298
SB,6,3,6,3368,6303,0.0,6.181,488,129,0.0,18.751,"[30.0, 390.0, 570.0, 750.0]",8686273544223722676
SB,7,3,6,3368,6303,0.0,7.795,488,129,0.0,4.206,"[30.0, 750.0, 1110.0, 750.0]",8175454890654848172
SB,8,3,6,3368,6303,0.0,5.208,488,129,0.0,4.627,"[30.0, 750.0, 390.0, 750.0]",2255397145002554746
SB,9,3,6,3368,6303,0.0,4.781,488,129,0.0,6.238,"[1110.0, 210.0, 390.0, 390.0]",9126193291883896197
SB,10,3,6,3368,6303,0.0,9.881,488,129,0.0,11.514,"[210.0, 750.0, 210.0, 390.0]",4584935568729072461
SB,1,4,4,2994,5204,146.17,151.729,434,116,146.17,191.487,"[750.0, 390.0, 30.0, 30.0]",3247745194313606901
SB,2,4,4,2994,5204,136.75,106.904,434,116,136.75,462.861,"[210.0, 570.0, 30.0, 390.0]",1229159992315688826
SB,3,4,4,2994,5204,116.31,41.699,434,116,116.31,459.279,"[390.0, 390.0, 30.0, 570.0]",2397249385237905256
SB,4,4,4,2994,5204,137.88,76.098,434,116,137.88,195.511,"[750.0, 210.0, 210.0, 390.0]",7061086516450819327
SB,5,4,4,2994,5204,102.37,188.553,434,116,102.37,505.167,"[30.0, 210.0, 30.0, 390.0]",5352818563267364125
SB,6,4,4,2994,5204,0.0,8.636,434,116,0.0,4.57,"[30.0, 210.0, 30.0, 390.0]",2331531793168685323
SB,7,4,4,2994,5204,133.33,385.522,434,116,133.33,1232.227,"[750.0, 570.0, 570.0, 390.0]",1453326477118389252
SB,8,4,4,2994,5204,144.47,92.215,434,116,144.47,130.139,"[210.0, 30.0, 30.0, 390.0]",5565595202906063356
SB,9,4,4,2994,5204,119.32,35.475,434,116,119.32,139.013,"[570.0, 390.0, 390.0, 570.0]",8465017315257749258
SB,10,4,4,2994,5204,82.5,135.654,434,116,82.5,191.034,"[570.0, 570.0, 30.0, 390.0]",1696422164659487797
SB,1,5,3,2807,4504,257.47,25.853,407,109,257.47,557.572,"[30.0, 930.0, 390.0, 390.0]",8080633493858319835
SB,2,5,3,2807,4504,653.79,55.263,407,109,653.79,919.474,"[30.0, 30.0, 30.0, 390.0]",8503294527413638515
SB,3,5,3,2807,4504,175.86,8.483,407,109,175.86,12.47,"[30.0, 390.0, 390.0, 570.0]",2856957441199018481
